movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt5144174,471,. The Dry,1h 57mR,2020,6.8,"31,257"
tt7137380,472,. Destroyer,2h 1mR,2018,6.2,"31,227"
tt7430722,473,. War,2h 31mNot Rated,2019,6.5,"31,139"
tt9354944,474,. Jexi,1h 24mR,2019,6.0,"30,869"
tt5929754,475,. Wildlife,1h 45mPG-13,2018,6.8,"30,761"
tt9573980,476,. Leaving Neverland,4hTV-MA,2019,7.0,"30,740"
tt7634968,477,. What Men Want,1h 57mR,2019,5.4,"30,708"
tt7961060,478,. Dragon Ball Super: Broly,1h 40mPG,2018,7.7,"30,619"
tt7772582,479,. Never Rarely Sometimes Always,1h 41mPG-13,2020,7.4,"30,506"
tt8954732,480,. The Princess Switch,1h 41mTV-PG,2018,6.1,"30,300"
tt8130968,481,. Badla,1h 58mNot Rated,2019,7.8,"30,204"
tt1131714,482,. Shiva Baby,1h 17mNot Rated,2020,7.1,"30,110"
tt7329656,483,. 47 Meters Down: Uncaged,1h 30mPG-13,2019,5.0,"30,069"
tt3089630,484,. Artemis Fowl,1h 35mPG,2020,4.3,"30,045"
tt2762506,485,. Bacurau,2h 11mNot Rated,2019,7.3,"29,959"
tt7149730,486,. The Silencing,1h 33mR,2020,6.2,"29,926"
tt1308728,487,. The Happytime Murders,1h 31mR,2018,5.5,"29,906"
tt4648786,488,. Harriet,2h 5mPG-13,2019,6.7,"29,801"
tt9691136,489,. Shadow in the Cloud,1h 23mR,2020,5.0,"29,775"
tt6288124,490,". Don't Worry, He Won't Get Far on Foot",1h 54mR,2018,6.8,"29,685"
tt2126357,491,. Second Act,1h 43mPG-13,2018,5.8,"29,655"
tt6527426,492,. Zero,2h 44mNot Rated,2018,5.2,"29,653"
tt9252468,493,. Mosul,1h 41mTV-MA,2019,7.1,"29,652"
tt1138238,494,. The Dissident,1h 59mPG-13,2020,7.8,"29,583"
tt3152592,495,. Scoob!,1h 33mPG,2020,5.6,"29,336"
tt9072352,496,. Relic,1h 29mR,2020,6.0,"29,282"
tt1006569,497,. Antebellum,1h 45mR,2020,5.8,"29,199"
tt8652728,498,. Waves,2h 15mR,2019,7.5,"29,103"
tt7748244,499,. Mortal World,1h 47m,2018,7.6,"29,052"
tt6768578,500,. Dogman,1h 43mNot Rated,2018,7.2,"28,823"
